Đầu lòng
tố nga
Thúy Kiều
Thúy Vân
cốt cách
tinh thần
trang trọng
khác vời
Khuôn trăng
đầy đặn
nét ngài
nở nang
đoan trang
màu da.
sắc sảo
mặn mà
lại là
phần hơn
thu thủy
xuân sơn
nghiêng nước
nghiêng thành
đòi một
họa hai.
Thông minh
vốn sẵn
thi họa
ca ngâm
Cung thương
làu bậc
ngũ âm
ăn đứt
bạc mệnh
lại càng
não nhân
Phong lưu
hồng quần
Xuân xanh
sấp xỉ
tới tuần
cập kê
Êm đềm
màn che
ong bướm
đi về
mặc ai
Ngày xuân
con én
đưa thoi
đã ngoài
sáu mươi
Cỏ non
chân trời
Cành lê
một vài
bông hoa
Thanh minh
tháng ba
tảo mộ
đạp Thanh
nô nức
yến anh
Chị em
sắm sửa
bộ hành
chơi xuân
Dập dìu
tài tử
giai nhân
áo quần
như nêm
Ngổn ngang
gò đống
kéo lên
